

|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|     112 |         112 |       00:34:01 |       96.09% |       0.0912 |          0.0010 |
|     113 |         113 |       00:34:19 |       98.44% |       0.0671 |          0.0010 |
|     114 |         114 |       00:34:36 |       97.66% |       0.1000 |          0.0010 |
|     115 |         115 |       00:34:53 |       99.22% |       0.0748 |          0.0010 |
|     116 |         116 |       00:35:10 |      100.00% |       0.0466 |          0.0010 |
|     117 |         117 |       00:35:28 |       96.09% |       0.0938 |          0.0010 |
|     118 |         118 |       00:35:45 |       99.22% |       0.0555 |          0.0010 |
|     119 |         119 |       00:36:03 |       97.66% |       0.0667 |          0.0010 |
|     120 |         120 |       00:36:20 |       99.22% |       0.0588 |          0.0010 |
|     121 |         121 |       00:36:38 |       98.44% |       0.0644 |          0.0010 |
|     122 |         122 |       00:36:55 |       96.88% |       0.0761 |          0.0010 |
|     123 |         123 |       00:37:12 |       99.22% |       0.0288 |          0.0010 |
|     124 |         124 |       00:37:29 |       98.44% |       0.0651 |          0.0010 |
|     125 |         125 |       00:37:46 |       96.88% |       0.0816 |          0.0010 |
|     126 |         126 |       00:38:03 |       99.22% |       0.0327 |          0.0010 |
|     127 |         127 |       00:38:21 |       99.22% |       0.0520 |          0.0010 |
|     128 |         128 |       00:38:38 |       97.66% |       0.0694 |          0.0010 |
|     129 |         129 |       00:38:56 |       97.66% |       0.0734 |          0.0010 |
|     130 |         130 |       00:39:14 |       99.22% |       0.0391 |          0.0010 |
|     131 |         131 |       00:39:31 |       96.88% |       0.0555 |          0.0010 |
|     132 |         132 |       00:39:48 |       97.66% |       0.0580 |          0.0010 |
|     133 |         133 |       00:40:06 |      100.00% |       0.0228 |          0.0010 |
|     134 |         134 |       00:40:24 |       97.66% |       0.0734 |          0.0010 |
|     135 |         135 |       00:40:41 |      100.00% |       0.0220 |          0.0010 |
|     136 |         136 |       00:40:59 |       97.66% |       0.0450 |          0.0010 |
|     137 |         137 |       00:41:17 |       99.22% |       0.0272 |          0.0010 |
|     138 |         138 |       00:41:35 |       97.66% |       0.0600 |          0.0010 |
|     139 |         139 |       00:41:52 |      100.00% |       0.0232 |          0.0010 |
|     140 |         140 |       00:42:09 |       99.22% |       0.0198 |          0.0010 |
|     141 |         141 |       00:42:26 |       98.44% |       0.0346 |          0.0010 |
|     142 |         142 |       00:42:43 |      100.00% |       0.0145 |          0.0010 |
|     143 |         143 |       00:43:02 |       99.22% |       0.0241 |          0.0010 |
|     144 |         144 |       00:43:20 |       98.44% |       0.0293 |          0.0010 |
|     145 |         145 |       00:43:39 |       98.44% |       0.0341 |          0.0010 |
|     146 |         146 |       00:43:57 |       99.22% |       0.0208 |          0.0010 |
|     147 |         147 |       00:44:14 |      100.00% |       0.0120 |          0.0010 |
|     148 |         148 |       00:44:32 |       99.22% |       0.0203 |          0.0010 |
|     149 |         149 |       00:44:49 |      100.00% |       0.0192 |          0.0010 |
|     150 |         150 |       00:45:05 |      100.00% |       0.0101 |          0.0010 |
